no,TI,ID
11,COMPLEMENTARY AND ALTERNATIVE THERAPIES TO RELIEVE LABOR PAIN: A COMPARATIVE STUDY BETWEEN MUSIC THERAPY AND HOKU POINT ICE MASSAGE,ice;adolescent;adult;controlled study;cryotherapy;female;human;iran;labor pain;music therapy;pain measurement;pregnancy;procedures;prospective study;randomized controlled trial;young adult;adolescent;adult;cryotherapy;female;humans;ice;iran;labor pain;music therapy;pain measurement;pregnancy;prospective studies;young adult
12,MASSAGE THERAPY FOR IMPROVING FUNCTIONAL ACTIVITY AFTER STROKE,hydrocortisone;all cause mortality;article;barthel index;cerebrovascular accident;clinical effectiveness;clinical protocol;functional assessment;functional status;human;hydrocortisone blood level;massage;outcome assessment;patient safety;priority journal;quality of life;short form 12;short form 36;survivor;therapy effect
13,IMMEDIATE EFFECTS OF TRADITIONAL THAI MASSAGE ON PSYCHOLOGICAL STRESS AS INDICATED BY SALIVARY ALPHA-AMYLASE LEVELS IN HEALTHY PERSONS,alpha amylase saliva isoenzyme;renin;adult;autonomic nervous system;blood;controlled study;crossover procedure;enzymology;female;heart rate;human;male;massage;mental stress;metabolism;pathophysiology;physiology;procedures;psychology;randomized controlled trial;saliva;salivary gland;thailand;therapy;adult;autonomic nervous system;cross-over studies;female;heart rate;humans;male;massage;renin;saliva;salivary alpha-amylases;salivary glands;stress;psychological;thailand
14,"EFFECT OF ELECTRO-ACUPUNCTURE, MASSAGE, MUD, AND SAUNA THERAPIES IN PATIENT WITH RHEUMATOID ARTHRITIS",diclofenac;hydroxychloroquine;methotrexate;naproxen;prednisolone;rabeprazole;adult;analgesia;anxiety;arthralgia;article;ayurveda;case report;depression;depression anxiety stress scale;disease association;disease severity;electroacupuncture;female;finger malformation;functional assessment;hand grip;herbal medicine;human;massage;mental stress;middle aged;morning stiffness;mud therapy;pain assessment;physical capacity;physiotherapy;pittsburgh sleep quality index;polyarthritis;priority journal;quality of life;rheumatoid arthritis;sauna;short form 36;sleep disorder;sleep quality;ten meter walk test;toe malformation;treatment duration;treatment outcome;visual analog scale
15,PREVENTATIVE EFFECT OF MASSAGE ON GASTRIC VOLVULUS IN INFANTS WITH GASTROESOPHAGEAL REFLUX-INDUCED PNEUMONIA,complication;controlled study;female;gastroesophageal reflux;human;infant;male;massage;pneumonia;randomized controlled trial;stomach volvulus;treatment outcome;female;gastroesophageal reflux;humans;infant;male;massage;pneumonia;stomach volvulus;treatment outcome
16,POTENTIAL CLINICAL APPLICATION OF MASSETER AND TEMPORAL MUSCLE MASSAGE TREATMENT USING AN ORAL REHABILITATION ROBOT IN TEMPOROMANDIBULAR DISORDER PATIENTS WITH MYOFASCIAL PAIN,adult;aged;comparative study;daily life activity;devices;echography;female;follow up;human;joint characteristics and functions;male;massage;masseter muscle;middle aged;pain measurement;pathology;physiology;pressure;procedures;robotics;rotation;safety;temporalis muscle;temporomandibular joint dysfunction syndrome;time;treatment outcome;very elderly;young adult;activities of daily living;adult;aged;aged;80 and over;female;follow-up studies;humans;male;massage;masseter muscle;middle aged;pain measurement;pressure;range of motion;articular;robotics;rotation;safety;temporal muscle;temporomandibular joint dysfunction syndrome;time factors;treatment outcome;young adult
17,"ENDOCANNABINOIDS AND RELATED LIPIDS IN BLOOD PLASMA FOLLOWING TOUCH MASSAGE: A RANDOMISED, CROSSOVER STUDY",endocannabinoid;lipid;behavior;blood;controlled study;crossover procedure;heart rate;human;massage;mental stress;randomized controlled trial;reproducibility;rest;touch;behavior;cross-over studies;endocannabinoids;heart rate;humans;lipids;massage;reproducibility of results;rest;stress;psychological;touch
18,PAIN PRESSURE THRESHOLD OF A MUSCLE TENDER SPOT INCREASES FOLLOWING LOCAL AND NON-LOCAL ROLLING MASSAGE,adult;algometer;antinociception;article;controlled study;female;gastrocnemius muscle;human;human experiment;male;massage;muscle tenderness;myalgia;normal human;pressure pain threshold;randomized controlled trial;single blind procedure;soleus muscle;adolescent;massage;pain threshold;procedures;skeletal muscle;young adult;adolescent;adult;female;healthy volunteers;humans;male;massage;muscle;skeletal;pain threshold;young adult
19,SKIN TO SKIN INTERACTIONS. DOES THE INFANT MASSAGE IMPROVE THE COUPLE FUNCTIONING?,
20,THE EFFECT OF MASSAGE THERAPY AND/OR EXERCISE THERAPY ON SUBACUTE OR LONG-LASTING NECK PAIN - THE STOCKHOLM NECK TRIAL (STONE): STUDY PROTOCOL FOR A RANDOMIZED CONTROLLED TRIAL,article;chronic pain questionnaire;controlled study;disability;drug use;health care utilization;human;internet;kinesiotherapy;massage;medical leave;neck pain;pain assessment;pain intensity;quality of life;randomized controlled trial;randomized controlled trial (topic);self report;text messaging;adolescent;adult;aged;clinical protocol;comparative study;cost benefit analysis;economics;female;health care cost;male;methodology;middle aged;multimodality cancer therapy;neck pain;pain measurement;pathophysiology;questionnaire;sweden;time factor;treatment outcome;young adult;adolescent;adult;aged;clinical protocols;combined modality therapy;cost-benefit analysis;disability evaluation;exercise therapy;female;health care costs;humans;male;massage;middle aged;neck pain;pain measurement;research design;surveys and questionnaires;sweden;time factors;treatment outcome;young adult
21,"MECHANICAL MASSAGE AND MENTAL TRAINING PROGRAMMES AFFECT EMPLOYEES' ANXIETY, STRESS SUSCEPTIBILITY AND DETACHMENT-A RANDOMISED EXPLORATIVE PILOT STUDY",adult;anxiety;article;controlled study;convalescence;emotional attachment;exploratory research;female;human;job stress;male;massage;mental health;mindfulness;personal experience;personality test;pilot study;psychotherapy;randomized controlled trial;sleep quality;social desirability;swedish scale of personality subscale;treatment outcome;anxiety;australia;middle aged;sweden;therapy;workplace;adult;anxiety;australia;female;humans;male;massage;middle aged;pilot projects;sweden;workplace
22,THE EFFECTIVENESS OF MASSAGE BASED ON THE TENSEGRITY PRINCIPLE COMPARED WITH CLASSICAL ABDOMINAL MASSAGE PERFORMED ON PATIENTS WITH CONSTIPATION,abdominal massage;adult;aged;article;clinical article;clinical effectiveness;clinical evaluation;constipation;defecation;female;human;intestine motility;male;massage;medical procedures;non invasive procedure;physiotherapy;priority journal;questionnaire;tensegrity principle;treatment duration;treatment outcome;comparative study;constipation;massage;middle aged;procedures;adult;aged;constipation;defecation;female;humans;male;massage;middle aged;treatment outcome
23,CLAMSHELL THORACOTOMY AND OPEN HEART MASSAGE - A POTENTIAL LIFE-SAVING PROCEDURE CAN BE TAUGHT TO EMERGENCY PHYSICIANS: AN EDUCATIONAL CADAVERIC PILOT STUDY,article;cadaver;forceps;heart arrest;heart massage;human;physician;priority journal;scalpel;scissors;sternotomy;surgical training;teaching;thoracotomy;cardiac tamponade;education;emergency health service;emergency medicine;evaluation study;female;heart arrest;male;medical education;operation duration;pilot study;procedures;resuscitation;thoracotomy;cadaver;cardiac tamponade;emergency medical services;emergency medicine;female;heart arrest;heart massage;humans;internship and residency;male;operative time;pilot projects;resuscitation;thoracotomy
24,"DO SEXUALLY ORIENTED MASSAGE PARLORS CLUSTER IN SPECIFIC NEIGHBORHOODS? A SPATIAL ANALYSIS OF INDOOR SEX WORK IN LOS ANGELES AND ORANGE COUNTIES, CALIFORNIA",adolescent;adult;article;chinese;coitus;commercial phenomena;condom use;emotional abuse;female;health disparity;hispanic;household;human;immigrant;korean (people);male;neighborhood;physical violence;priority journal;prostitution;sexually transmitted disease;social determinants of health;spatial analysis;suburban area;united states;vietnamese;age distribution;cluster analysis;demography;economics;ethnic group;ethnology;legislation and jurisprudence;massage;middle aged;prostitution;sex ratio;statistical model;statistics and numerical data;young adult;adolescent;adult;age distribution;california;cluster analysis;ethnic groups;female;humans;logistic models;los angeles;male;massage;middle aged;residence characteristics;sex distribution;sex workers;social determinants of health;spatial analysis;young adult
25,INCREASED SKELETAL MUSCLE EXPRESSION OF VEGF INDUCED BY MASSAGE AND EXERCISE,messenger rna;vasculotropin a;vasculotropin a;adaptation;adult;animal cell;animal experiment;animal tissue;article;cellular distribution;controlled study;exercise;flexor digitorum brevis muscle;gene expression;immunohistochemistry;massage;muscle cell;nonhuman;protein expression;rat;real time polymerase chain reaction;vegf a gene;western blotting;animal;genetics;metabolism;physiology;skeletal muscle;rattus;rattus norvegicus;animals;massage;muscle;skeletal;physical exertion;rats;vascular endothelial growth factor a
26,IMPACT OF CLASSIC MASSAGE ON BLOOD PRESSURE IN PATIENTS WITH CLINICALLY DIAGNOSED HYPERTENSION,aged;blood pressure;clinical trial;female;human;hypertension;massage;middle aged;pathophysiology;aged;blood pressure;female;humans;hypertension;massage;middle aged
27,GAIT ANALYSIS OF PATIENTS WITH KNEE OSTEOARTHRITIS BEFORE AND AFTER CHINESE MASSAGE TREATMENT,aged;clinical trial;female;gait;human;joint characteristics and functions;male;massage;middle aged;osteoarthritis;knee;pathophysiology;aged;female;gait;humans;male;massage;middle aged;osteoarthritis;knee;range of motion;articular
28,"RAPID STRESS-RELIEF TECHNIQUES LESSEN FEAR OF CANCER TREATMENT. CONVERSATIONS, RELAXATION EXERCISES, MASSAGE, AND AROMATHERAPY HELP PATIENTS ACHIEVE A CALMER STATE",anxiety;aromatherapy;fear;human;massage;neoplasm;psychology;anxiety;aromatherapy;fear;humans;massage;neoplasms
29,ACUPOINT MASSAGE NURSING CONDUCIVE TO IMPROVE CURATIVE EFFECT OF THE OBESITY PATIENTS WHO ARE COMPLICATED WITH HYPERTENSION AND ARE TREATED BY ORAL DRUGS,captopril;cholesterol;high density lipoprotein cholesterol;low density lipoprotein cholesterol;triacylglycerol;acupoint massage;adult;article;blood pressure;body fat;clinical article;controlled study;diastolic blood pressure;female;human;hypertension;lipid blood level;male;massage;obesity;systolic blood pressure;therapy effect
30,STUDY OF MAGNETIC SILK FIBROIN NANOPARTICLES FOR MASSAGE-LIKE TRANSDERMAL DRUG DELIVERY,drug carrier;magnetic nanoparticle;methotrexate;silk fibroin;fibroin;magnetite nanoparticle;animal tissue;article;confocal laser microscopy;controlled study;diffusion;drug delivery system;drug penetration;electrophoresis;encapsulation;guinea pig;high performance liquid chromatography;in vitro study;infrared spectroscopy;lipid bilayer;magnetic field;magnetophoresis;massage;membrane fluidity;nonhuman;particle size;physical chemistry;skin penetration;skin permeability;stratum corneum;transdermal drug delivery system;animal;chemistry;cutaneous drug administration;massage;metabolism;procedures;skin;administration;cutaneous;animals;drug delivery systems;fibroins;guinea pigs;magnetite nanoparticles;massage;skin
31,VIBRATION THERAPY IS NO MORE EFFECTIVE THAN THE STANDARD PRACTICE OF MASSAGE AND STRETCHING FOR PROMOTING RECOVERY FROM MUSCLE DAMAGE AFTER ECCENTRIC EXERCISE,c reactive protein;creatine kinase;c reactive protein;creatine kinase;myoglobin;adult;article;clinical article;clinical practice;controlled study;creatine kinase blood level;eccentric exercise;eccentric muscle contraction;exercise;human;inflammation;male;massage;muscle disease;muscle injury;muscle soreness;muscle strength;musculoskeletal system parameters;peak isometric torque;physical disease by body function;priority journal;randomized controlled trial;single blind procedure;stretching;treatment outcome;vibration therapy;visual analog scale;adolescent;convalescence;injuries;metabolism;procedures;quadriceps femoris muscle;skeletal muscle;stretching exercise;therapeutic use;torque;vibration;young adult;adolescent;adult;c-reactive protein;creatine kinase;exercise;humans;male;massage;muscle strength;muscle stretching exercises;muscle;skeletal;myoglobin;quadriceps muscle;recovery of function;single-blind method;torque;treatment outcome;vibration;young adult
32,IRRITANT DERMATITIS AND POSTINFLAMMATORY DEPIGMENTATION FOLLOWING APPLICATION OF 'SEXUAL MASSAGE OILS' - A CASE REPORT,cetirizine;oil;pseudomonic acid;sexual massage oil;unclassified drug;adult;article;case report;depigmentation;disease course;human;irritant dermatitis;male;massage;outcome assessment;penis;postinflammatory depigmentation;postinflammatory depigmentation;skin burning sensation;skin ulcer;telangiectasia
33,PRACTICE AND RESEARCH IN AUSTRALIAN MASSAGE THERAPY: A NATIONAL WORKFORCE SURVEY,australia;controlled clinical trial;controlled study;human;major clinical study;massage;multivariate analysis;physician;randomized controlled trial;telephone interview;vocational education
34,PERCEPTION ABOUT THE IMPORTANCE AND USE OF THERAPEUTIC MASSAGE AS A TREATMENT MODALITY AMONG PHYSICAL THERAPISTS WORKING IN SAUDI ARABIA,
35,MYOSITIS OSSIFICANS OF THE SERRATUS ANTERIOR AS A RARE COMPLICATION OF MASSAGE: A CASE REPORT,adult;arm;article;brachial plexus;cancer surgery;case report;clavicle;computer assisted tomography;electromyogram;female;histopathology;human;human tissue;massage;nuclear magnetic resonance imaging;ossifying myositis;paresthesia;physical examination;priority journal;serratus anterior muscle;shoulder;skeletal muscle;symptom;thorax radiography;thorax wall;adverse effects;differential diagnosis;massage;myositis ossificans;neck;pathology;skeletal muscle;adult;diagnosis;differential;female;humans;magnetic resonance imaging;massage;muscle;skeletal;myositis ossificans;neck
36,CLINICAL STUDY ON ACUPOINT MASSAGE IN IMPROVING COGNITIVE FUNCTION AND SLEEP QUALITY OF ELDERLY PATIENTS WITH HYPERTENSION,
37,MASSAGE-LIKE STROKING BOOSTS THE IMMUNE SYSTEM IN MICE,hydrocortisone;animal;anxiety;c57bl mouse;cellular immunity;cytology;immunology;immunomodulation;lymphocyte activation;male;massage;physiology;spleen;t lymphocyte;thymus;animals;anxiety;hydrocortisone;immunity;cellular;immunomodulation;lymphocyte activation;male;massage;mice;inbred c57bl;spleen;t-lymphocytes;thymus gland
38,MECHANICAL MODEL OF TRADITIONAL THAI MASSAGE FOR INTEGRATED HEALTHCARE,health care;patient treatment;truck trailers;fundamental principles;health care providers;massage technique;massage therapy;mechanical hands;mechanical model;thai massage;user satisfaction;physical therapy;article;finger;hand prosthesis;health care;health care personnel;human;massage;mathematical model;mechanics;motion;muscle;pressure;satisfaction;touch;traditional thai massage;adult;biomimetics;computer assisted therapy;device failure analysis;devices;equipment design;female;hand;integrated health care system;male;massage;patient satisfaction;physiology;pilot study;procedures;robotics;stimulation;thailand;theoretical model;adult;biomimetics;delivery of health care;integrated;equipment design;equipment failure analysis;female;hand;humans;male;massage;models;theoretical;patient satisfaction;physical stimulation;pilot projects;robotics;thailand;therapy;computer-assisted
39,THE EFFECT OF WHOLE BODY MASSAGE ON THE PROCESS AND PHYSIOLOGICAL OUTCOME OF TRAUMA ICU PATIENTS: A DOUBLE-BLIND RANDOMIZED CLINICAL TRIAL,
40,PILOT STUDY OF MASSAGE IN VETERANS WITH KNEE OSTEOARTHRITIS,adult;african american;article;clinical article;clinical assessment tool;euroqol health status index;female;health care system;human;knee osteoarthritis;knee pain;male;massage;national institute of health patient reported outcome measurement information system pain interference questionnaire 6b;patient care;pilot study;priority journal;questionnaire;range of motion;self report;short form 12;treatment duration;united states;veteran;visual analog scale;western ontario and mcmaster universities osteoarthritis index;aged;massage;middle aged;north carolina;osteoarthritis;knee;pain measurement;procedures;statistics and numerical data;treatment outcome;aged;female;humans;male;massage;middle aged;north carolina;osteoarthritis;knee;pain measurement;pilot projects;treatment outcome;veterans
41,"CORTICOSTEROID OR PLACEBO INJECTION COMBINED WITH DEEP TRANSVERSE FRICTION MASSAGE, MILLS MANIPULATION, STRETCHING AND ECCENTRIC EXERCISE FOR ACUTE LATERAL EPICONDYLITIS: A RANDOMISED, CONTROLLED TRIAL",naproxen;paracetamol;placebo;triamcinolone acetonide;corticosteroid;acute lateral epicondylitis;adult;aged;article;clinical assessment;controlled study;corticosteroid therapy;deep transverse friction massage;eccentric exercise;female;follow up;general practice;human;major clinical study;male;massage;mills manipulation;orthopedic manipulation;physiotherapy;randomized controlled trial;stretching exercise;tennis elbow;treatment outcome;young adult;acute disease;adolescent;biomechanics;chi square distribution;convalescence;double blind procedure;drug effects;elbow;intraarticular drug administration;middle aged;multimodality cancer therapy;norway;odds ratio;pathophysiology;primary health care;single blind procedure;statistical model;tennis elbow;time factor;acute disease;adolescent;adrenal cortex hormones;adult;aged;biomechanical phenomena;chi-square distribution;combined modality therapy;double-blind method;elbow joint;female;humans;injections;intra-articular;linear models;logistic models;male;massage;middle aged;muscle stretching exercises;norway;odds ratio;primary health care;recovery of function;single-blind method;tennis elbow;time factors;treatment outcome;young adult
42,THE EFFECT OF WHOLE BODY MASSAGE ON THE PROCESS AND PHYSIOLOGICAL OUTCOME OF TRAUMA ICU PATIENTS: A DOUBLE-BLIND RANDOMIZED CLINICAL TRIAL,adult;arterial oxygen saturation;arterial oxygen tension;article;body temperature;breathing rate;controlled study;diastolic blood pressure;double blind procedure;female;glasgow coma scale;human;injury;intensive care;major clinical study;male;massage;outcome assessment;ph;pulse rate;randomized controlled trial;systolic blood pressure
43,THAI TRADITIONAL MASSAGE: EFFICIENCY-ASSESSMENT OF THREE TRADITIONAL MASSAGE METHODS ON OFFICE WORKERS: AN EXPLORATIVE STUDY,adult;article;clinical article;controlled study;electromyography;extensor muscle;female;flexor muscle;forearm;hand muscle;human;massage;muscle contraction;muscle exercise;muscle fatigue;muscle potential;muscle strain;muscle strength;office worker;randomized controlled trial;thai traditional massage;trapezius muscle;visual analog scale;endurance;massage;myalgia;occupational health;procedures;shoulder;skeletal muscle;thailand;wrist;adult;electromyography;female;humans;massage;muscle strength;muscle;skeletal;myalgia;occupational health;physical endurance;shoulder;thailand;wrist
44,"EFFECT OF COMBINED MANUAL ACUPUNCTURE AND MASSAGE ON BODY WEIGHT AND BODY MASS INDEX REDUCTION IN OBESE AND OVERWEIGHT WOMEN: A RANDOMIZED, SHORT-TERM CLINICAL TRIAL",acupuncture;adult;alternative medicine;article;body mass;body weight;caloric restriction;controlled study;female;follow up;health hazard;human;long term care;massage;obesity;priority journal;randomized controlled trial;weight reduction;acupuncture;body mass;body weight;china;massage;obesity;overweight;pathophysiology;physiology;procedures;acupuncture therapy;body mass index;body weight;china;female;humans;massage;obesity;overweight
45,"MYOFASCIAL TRIGGER POINT-FOCUSED HEAD AND NECK MASSAGE FOR RECURRENT TENSION-TYPE HEADACHE: A RANDOMIZED, PLACEBO-CONTROLLED CLINICAL TRIAL",placebo;adult;article;controlled study;female;human;major clinical study;male;massage;myofascial trigger point;post hoc analysis;pressure pain threshold;priority journal;quality of life;randomized controlled trial;self report;tension headache;trigger point;hospital admission;massage;medical record;pain measurement;pain threshold;procedures;tension-type headache;treatment outcome;trigger point;adult;female;humans;male;massage;medical records;pain measurement;pain threshold;quality of life;self report;tension-type headache;treatment outcome;trigger points;waiting lists
46,THE PROFESSIONAL ROLE OF MASSAGE THERAPISTS IN PATIENT CARE IN CANADIAN URBAN HOSPITALS - A MIXED METHODS STUDY,article;community hospital;health care personnel;health educator;health personnel attitude;health promotion;human;massage therapist;patient care;professional standard;semi structured interview;urban area;canada;health care delivery;hospital;information processing;male;massage;patient care;physiotherapy;procedures;canada;data collection;delivery of health care;health personnel;hospitals;urban;humans;male;massage;ontario;patient care;physical therapy modalities;professional role
47,"MASSAGE THERAPY IMPROVES THE DEVELOPMENT OF HIV-EXPOSED INFANTS LIVING IN A LOW SOCIO-ECONOMIC, PERI-URBAN COMMUNITY OF SOUTH AFRICA",iron;adult;anemia;anthropometry;article;cd4 lymphocyte count;child development;child growth;controlled study;dietary intake;exposure;female;follow up;geographic and geological phenomena;griffiths scales of mental development;hearing;human;human immunodeficiency virus infection;human relation;immunity;infant;male;massage;mother;peri urban community;polymerase chain reaction;prospective study;randomized controlled trial;rating scale;social status;south africa;speech;vertical transmission;cognition disorders;developing country;developmental disabilities;ethnology;language development disorders;massage;poverty;psychology;urban population;young adult;adult;adult;cognition disorders;cognition disorders;developing countries;developing countries;developmental disabilities;developmental disabilities;female;female;hiv seropositivity;hiv seropositivity;humans;humans;infant;infant;language development disorders;language development disorders;male;male;massage;massage;poverty areas;poverty areas;prospective studies;prospective studies;south africa;south africa;urban population;urban population;young adult;young adult
48,PROXIMAL DRAINAGE PLUS MASSAGE OF LACRIMAL SAC IMPROVES THE SYMPTOMS OF CONGENITAL DACRYOCYSTOCELES,antibiotic agent;article;cellulitis;clinical feature;congenital dacryocystocele;decompression;eye disease;female;human;infant;lacrimal sac;major clinical study;male;massage;newborn;priority journal;retrospective study;surgical drainage;treatment outcome;congenital malformation;drainage;hernia;lacrimal apparatus;lacrimal apparatus diseases;multimodality cancer therapy;procedures;combined modality therapy;drainage;female;hernia;humans;infant;newborn;lacrimal apparatus;lacrimal apparatus diseases;male;massage;retrospective studies
49,DEVELOPMENT OF A HOSPITAL-BASED MASSAGE THERAPY COURSE AT AN ACADEMIC MEDICAL CENTER,
50,THE COMPLEMENTARY MEDICINE (CAM) FOR THE TREATMENT OF CHRONIC PAIN: SCIENTIFIC EVIDENCE REGARDING THE EFFECTS OF HEALING TOUCH MASSAGE,alternative medicine;analgesia;anxiety;article;cancer palliative therapy;chronic pain;constipation;depression;evidence based medicine;fatigue;healing touch massage;human;massage;nausea;quality of life;randomized controlled trial (topic);systematic review;therapy effect;treatment outcome;chronic pain;chronic pain;humans;massage
51,"A RANDOMISED, CONTROLLED, SINGLE-BLINDED STUDY ON THE IMPACT OF A SINGLE RHYTHMICAL MASSAGE (ANTHROPOSOPHIC MEDICINE) ON WELL-BEING AND SALIVARY CORTISOL IN HEALTHY ADULTS",hydrocortisone;hydrocortisone;adult;alternative medicine;aromatherapy;article;controlled study;female;follow up;human;human experiment;male;massage;normal human;outcome assessment;randomized controlled trial;relaxation sensation;rhythmical massage;saliva level;salivary cortisol;single blind procedure;wellbeing;adolescent;affect;chemistry;massage;mental stress;physiology;procedures;saliva;therapy;young adult;adolescent;adult;affect;humans;hydrocortisone;massage;saliva;stress;psychological;young adult
52,PSYCHOLOGICAL STRESS CAN BE DECREASED BY TRADITIONAL THAI MASSAGE,adult;anxiety;article;assessment of humans;autonomic nervous system function;bed rest;controlled study;faces rating scale;female;heart rate variability;homeostasis;human;human experiment;male;massage;mental stress;normal human;outcome assessment;parasympathetic function;physiotherapy;qrs complex;sympathetic tone;traditional thai massage;heart rate;massage;mental stress;physiology;procedures;randomized controlled trial;thailand;therapy;adult;bed rest;female;heart rate;humans;male;massage;stress;psychological;thailand
